FILENAME,PREDICT_LABEL,TRUE_LABEL,MATCHING,ANGER_POSSIBILITY,DISGUST_POSSIBILITY,FEAR_POSSIBILITY,JOY_POSSIBILITY,NEUTRAL_POSSIBILITY,SADNESS_POSSIBILITY,SURPRISE_POSSIBILITY
dia103_utt3.wav,surprise,surprise,True,0.075,0.03,0.06,0.06,0.04,0.035,0.7
dia103_utt5.wav,surprise,surprise,True,0.0225,0.035,0.0125,0.0225,0.01,0.0275,0.87
dia104_utt0.wav,neutral,joy,False,0.11,0.105,0.055,0.1425,0.265,0.19,0.1325
dia104_utt2.wav,joy,neutral,False,0.1775,0.055,0.0775,0.21,0.21,0.1175,0.1525
dia106_utt0.wav,anger,anger,True,0.7925,0.05,0.025,0.04,0.035,0.03,0.0275
dia109_utt1.wav,joy,joy,True,0.0175,0.015,0.0425,0.76,0.07,0.0275,0.0675
dia109_utt6.wav,neutral,neutral,True,0.0375,0.04,0.035,0.0575,0.735,0.0475,0.0475
dia10_utt0.wav,anger,anger,True,0.7475,0.025,0.0375,0.075,0.04,0.045,0.03
dia10_utt1.wav,neutral,neutral,True,0.03,0.0075,0.0375,0.0675,0.7525,0.015,0.09
dia10_utt2.wav,anger,neutral,False,0.2075,0.1375,0.08,0.15,0.1375,0.15,0.1375
dia110_utt0.wav,surprise,surprise,True,0.0075,0.0325,0.065,0.0825,0.0625,0.035,0.715
dia111_utt12.wav,neutral,neutral,True,0.025,0.03,0.04,0.0675,0.7075,0.0775,0.0525
dia111_utt14.wav,neutral,neutral,True,0.0375,0.02,0.04,0.0675,0.74,0.0275,0.0675
dia113_utt2.wav,joy,joy,True,0.01,0.0075,0.015,0.8675,0.0525,0.0075,0.04
dia113_utt7.wav,anger,anger,True,0.895,0.0025,0.01,0.03,0.01,0.01,0.0425
dia114_utt1.wav,disgust,neutral,False,0.0775,0.2275,0.0725,0.12,0.1725,0.225,0.105
dia114_utt5.wav,joy,joy,True,0.0425,0.0225,0.045,0.725,0.06,0.0475,0.0575
dia116_utt1.wav,neutral,neutral,True,0.045,0.025,0.0325,0.0725,0.6725,0.0625,0.09
dia116_utt5.wav,disgust,sadness,False,0.1225,0.2275,0.1425,0.1025,0.06,0.2025,0.1425
dia121_utt1.wav,joy,joy,True,0.05,0.045,0.035,0.6825,0.0575,0.075,0.055
dia121_utt3.wav,neutral,neutral,True,0.0375,0.055,0.04,0.0675,0.6825,0.075,0.0425
dia121_utt5.wav,joy,joy,True,0.02,0.0075,0.0575,0.805,0.06,0.0075,0.0425
dia125_utt11.wav,joy,joy,True,0.09,0.0225,0.02,0.7275,0.065,0.04,0.035
dia125_utt12.wav,neutral,neutral,True,0.1025,0.105,0.105,0.1125,0.28,0.1675,0.1275
dia125_utt14.wav,surprise,surprise,True,0.075,0.0275,0.0375,0.0575,0.0375,0.035,0.73
dia125_utt17.wav,surprise,surprise,True,0.0275,0.0175,0.0225,0.065,0.1475,0.0275,0.6925
dia125_utt18.wav,anger,anger,True,0.8175,0.0125,0.0275,0.0475,0.0375,0.0125,0.045
dia125_utt19.wav,anger,anger,True,0.7,0.0325,0.0275,0.07,0.1,0.04,0.03
dia125_utt22.wav,surprise,surprise,True,0.0725,0.17,0.03,0.115,0.07,0.145,0.3975
dia125_utt4.wav,neutral,neutral,True,0.0425,0.055,0.025,0.045,0.7275,0.0325,0.0725
dia125_utt7.wav,surprise,surprise,True,0.095,0.0525,0.1275,0.1125,0.2225,0.11,0.28
dia125_utt8.wav,joy,neutral,False,0.1375,0.11,0.1125,0.21,0.1575,0.1775,0.095
dia125_utt9.wav,neutral,neutral,True,0.085,0.0575,0.09,0.2075,0.2225,0.1725,0.165
dia129_utt4.wav,neutral,neutral,True,0.05,0.055,0.02,0.0475,0.6975,0.09,0.04
dia131_utt7.wav,neutral,neutral,True,0.0225,0.01,0.085,0.055,0.7175,0.0175,0.0925
dia132_utt13.wav,sadness,neutral,False,0.1175,0.1775,0.045,0.125,0.17,0.2275,0.1375
dia132_utt14.wav,disgust,neutral,False,0.13,0.1975,0.0375,0.165,0.14,0.19,0.14
dia132_utt18.wav,neutral,neutral,True,0.0375,0.0975,0.04,0.06,0.6825,0.06,0.0225
dia132_utt6.wav,disgust,neutral,False,0.135,0.2375,0.065,0.1575,0.145,0.16,0.1
dia132_utt8.wav,neutral,neutral,True,0.0575,0.0375,0.045,0.075,0.6825,0.05,0.0525
dia137_utt10.wav,surprise,surprise,True,0.0125,0.005,0.02,0.06,0.045,0.015,0.8425
dia137_utt12.wav,surprise,surprise,True,0.04,0.0875,0.0325,0.0275,0.04,0.0775,0.695
dia137_utt13.wav,anger,anger,True,0.7025,0.035,0.0375,0.0925,0.05,0.035,0.0475
dia137_utt14.wav,anger,anger,True,0.7275,0.0175,0.0425,0.05,0.0425,0.03,0.09
dia140_utt0.wav,anger,anger,True,0.7,0.025,0.03,0.065,0.1175,0.035,0.0275
dia140_utt11.wav,anger,anger,True,0.86,0.01,0.015,0.0375,0.04,0.015,0.0225
dia140_utt13.wav,sadness,sadness,True,0.0275,0.0925,0.045,0.0325,0.0175,0.7525,0.0325
dia140_utt8.wav,sadness,sadness,True,0.0475,0.0325,0.015,0.0275,0.0325,0.785,0.06
dia140_utt9.wav,joy,joy,True,0.04,0.0375,0.03,0.715,0.1175,0.0175,0.0425
dia147_utt10.wav,joy,joy,True,0.05,0.0375,0.02,0.7375,0.0725,0.045,0.0375
dia147_utt2.wav,sadness,sadness,True,0.055,0.015,0.045,0.045,0.0475,0.73,0.0625
dia14_utt1.wav,joy,joy,True,0.0575,0.035,0.045,0.7375,0.0375,0.035,0.0525
dia14_utt4.wav,neutral,neutral,True,0.025,0.025,0.045,0.0425,0.775,0.035,0.0525
dia14_utt5.wav,neutral,neutral,True,0.0475,0.03,0.025,0.035,0.7725,0.0275,0.0625
dia153_utt2.wav,neutral,neutral,True,0.0675,0.03,0.0325,0.0625,0.7025,0.03,0.075
dia153_utt3.wav,neutral,neutral,True,0.045,0.035,0.0425,0.06,0.685,0.0775,0.055
dia153_utt4.wav,fear,fear,True,0.0275,0.01,0.75,0.0325,0.07,0.02,0.09
dia153_utt7.wav,neutral,neutral,True,0.04,0.065,0.0175,0.035,0.72,0.0875,0.035
dia154_utt4.wav,neutral,neutral,True,0.025,0.0175,0.0425,0.0575,0.7475,0.03,0.08
dia157_utt0.wav,neutral,neutral,True,0.0425,0.0325,0.04,0.0725,0.74,0.0425,0.03
dia157_utt1.wav,neutral,neutral,True,0.0525,0.0475,0.0325,0.0725,0.7075,0.0525,0.035
