FILENAME,PREDICT_LABEL,TRUE_LABEL,MATCHING,ANGER_POSSIBILITY,DISGUST_POSSIBILITY,FEAR_POSSIBILITY,JOY_POSSIBILITY,NEUTRAL_POSSIBILITY,SADNESS_POSSIBILITY,SURPRISE_POSSIBILITY
dia103_utt3.wav,surprise,surprise,True,0.07,0.04,0.0425,0.055,0.0475,0.0325,0.7125
dia103_utt5.wav,surprise,surprise,True,0.0275,0.02,0.0075,0.025,0.0075,0.0575,0.855
dia104_utt0.wav,neutral,joy,False,0.14,0.1125,0.0475,0.145,0.2275,0.165,0.1625
dia104_utt2.wav,neutral,neutral,True,0.0575,0.025,0.0375,0.0675,0.7225,0.0325,0.0575
dia106_utt0.wav,anger,anger,True,0.7725,0.0375,0.02,0.04,0.0625,0.025,0.0425
dia109_utt1.wav,joy,joy,True,0.0325,0.02,0.055,0.7375,0.0625,0.0325,0.06
dia109_utt6.wav,neutral,neutral,True,0.0325,0.025,0.0675,0.065,0.725,0.0375,0.0475
dia10_utt0.wav,anger,anger,True,0.7525,0.0175,0.03,0.0625,0.045,0.0425,0.05
dia10_utt1.wav,neutral,neutral,True,0.04,0.025,0.06,0.0525,0.69,0.03,0.1025
dia10_utt2.wav,neutral,neutral,True,0.1,0.075,0.0325,0.0525,0.6575,0.0425,0.04
dia110_utt0.wav,surprise,surprise,True,0.04,0.01,0.065,0.06,0.0725,0.0325,0.72
dia111_utt12.wav,neutral,neutral,True,0.035,0.0275,0.0225,0.0725,0.7225,0.085,0.035
dia111_utt14.wav,neutral,neutral,True,0.0475,0.0225,0.0525,0.055,0.66,0.05,0.1125
dia113_utt2.wav,joy,joy,True,0.0125,0.0075,0.0175,0.8775,0.0275,0.015,0.0425
dia113_utt7.wav,anger,anger,True,0.86,0.0125,0.015,0.035,0.0175,0.025,0.035
dia114_utt1.wav,disgust,neutral,False,0.0575,0.29,0.075,0.1175,0.14,0.2425,0.0775
dia114_utt5.wav,joy,joy,True,0.0425,0.01,0.06,0.755,0.0475,0.0275,0.0575
dia116_utt1.wav,neutral,neutral,True,0.055,0.02,0.0325,0.07,0.655,0.0625,0.105
