FILENAME,PREDICT_LABEL,TRUE_LABEL,MATCHING,ANGER_POSSIBILITY,DISGUST_POSSIBILITY,FEAR_POSSIBILITY,JOY_POSSIBILITY,NEUTRAL_POSSIBILITY,SADNESS_POSSIBILITY,SURPRISE_POSSIBILITY
dia103_utt3.wav,surprise,surprise,True,0.07,0.0175,0.0425,0.0625,0.04,0.04,0.7275
dia103_utt5.wav,surprise,surprise,True,0.0225,0.0275,0.01,0.025,0.035,0.015,0.865
dia104_utt0.wav,neutral,joy,False,0.165,0.1325,0.0525,0.115,0.185,0.18,0.17
dia104_utt2.wav,neutral,neutral,True,0.07,0.0325,0.03,0.05,0.6875,0.0625,0.0675
dia106_utt0.wav,anger,anger,True,0.7825,0.0275,0.0325,0.04,0.05,0.0375,0.03
dia109_utt1.wav,joy,joy,True,0.035,0.0175,0.04,0.72,0.095,0.0225,0.07
dia109_utt6.wav,neutral,neutral,True,0.0475,0.0525,0.035,0.0625,0.7175,0.0225,0.0625
dia10_utt0.wav,anger,anger,True,0.745,0.0225,0.0175,0.055,0.055,0.0525,0.0525
dia10_utt1.wav,neutral,neutral,True,0.0525,0.03,0.045,0.0525,0.705,0.02,0.095
dia10_utt2.wav,neutral,neutral,True,0.0725,0.0325,0.0325,0.0475,0.685,0.065,0.065
dia110_utt0.wav,surprise,surprise,True,0.065,0.0425,0.045,0.075,0.055,0.0475,0.67
dia111_utt12.wav,neutral,neutral,True,0.0975,0.1475,0.075,0.16,0.2175,0.1475,0.155
dia111_utt14.wav,neutral,neutral,True,0.0225,0.03,0.0325,0.0525,0.735,0.045,0.0825
dia113_utt2.wav,joy,joy,True,0.0075,0.005,0.0175,0.905,0.0375,0.01,0.0175
dia113_utt7.wav,anger,anger,True,0.87,0.0125,0.0125,0.04,0.0125,0.0275,0.025
dia114_utt1.wav,neutral,neutral,True,0.0975,0.185,0.085,0.1275,0.25,0.16,0.095
dia114_utt5.wav,joy,joy,True,0.04,0.025,0.0375,0.7475,0.05,0.0375,0.0625
dia116_utt1.wav,neutral,neutral,True,0.06,0.035,0.03,0.055,0.69,0.055,0.075
dia116_utt5.wav,sadness,sadness,True,0.1175,0.1975,0.13,0.11,0.0825,0.2375,0.125
dia121_utt1.wav,joy,joy,True,0.035,0.0325,0.0475,0.6625,0.0775,0.0675,0.0775
dia121_utt3.wav,sadness,neutral,False,0.09,0.0925,0.1275,0.1775,0.2,0.215,0.0975
dia121_utt5.wav,joy,joy,True,0.04,0.0125,0.0425,0.7125,0.0725,0.035,0.085
dia125_utt11.wav,joy,joy,True,0.085,0.0325,0.04,0.7175,0.0425,0.0425,0.04
dia125_utt12.wav,neutral,neutral,True,0.1375,0.07,0.125,0.115,0.2675,0.1125,0.1725
dia125_utt14.wav,surprise,surprise,True,0.075,0.0325,0.025,0.065,0.0475,0.0275,0.7275
dia125_utt17.wav,surprise,surprise,True,0.0475,0.0475,0.03,0.07,0.0925,0.035,0.6775
dia125_utt18.wav,anger,anger,True,0.8375,0.0125,0.0125,0.0525,0.015,0.0275,0.0425
dia125_utt19.wav,anger,anger,True,0.7225,0.0175,0.0275,0.05,0.1075,0.03,0.045
dia125_utt22.wav,surprise,surprise,True,0.1125,0.1125,0.0825,0.14,0.115,0.1775,0.26
dia125_utt4.wav,neutral,neutral,True,0.1475,0.125,0.1,0.1225,0.2275,0.095,0.1825
dia125_utt7.wav,surprise,surprise,True,0.0975,0.0725,0.1225,0.1725,0.2025,0.11,0.2225
dia125_utt8.wav,anger,neutral,False,0.2175,0.1025,0.0825,0.1725,0.2175,0.13,0.0775
