FILENAME,PREDICT_LABEL,TRUE_LABEL,MATCHING,ANGER_POSSIBILITY,DISGUST_POSSIBILITY,FEAR_POSSIBILITY,JOY_POSSIBILITY,NEUTRAL_POSSIBILITY,SADNESS_POSSIBILITY,SURPRISE_POSSIBILITY
dia103_utt3.wav,surprise,surprise,True,0.07,0.0375,0.0375,0.0525,0.0375,0.0525,0.7125
dia103_utt5.wav,surprise,surprise,True,0.01,0.0225,0.02,0.02,0.0325,0.0225,0.8725
dia104_utt0.wav,neutral,joy,False,0.12,0.1025,0.055,0.16,0.22,0.19,0.1525
dia104_utt2.wav,neutral,neutral,True,0.055,0.0475,0.0325,0.07,0.6575,0.0625,0.075
dia106_utt0.wav,anger,anger,True,0.78,0.03,0.0325,0.045,0.0275,0.03,0.055
dia109_utt1.wav,joy,joy,True,0.0225,0.0075,0.055,0.765,0.0625,0.0275,0.06
dia109_utt6.wav,neutral,neutral,True,0.125,0.1475,0.1025,0.175,0.205,0.1025,0.1425
dia10_utt0.wav,anger,anger,True,0.7425,0.0225,0.0225,0.08,0.06,0.0275,0.045
dia10_utt1.wav,neutral,neutral,True,0.055,0.025,0.0225,0.0475,0.7475,0.02,0.0825
dia10_utt2.wav,neutral,neutral,True,0.0525,0.0275,0.0225,0.055,0.7425,0.0475,0.0525
dia110_utt0.wav,surprise,surprise,True,0.0325,0.06,0.05,0.045,0.0625,0.0625,0.6875
dia111_utt12.wav,surprise,neutral,False,0.0925,0.14,0.115,0.1425,0.1825,0.1425,0.185
dia111_utt14.wav,neutral,neutral,True,0.025,0.025,0.0575,0.0575,0.71,0.035,0.09
dia113_utt2.wav,joy,joy,True,0.025,0.005,0.0075,0.8825,0.035,0.005,0.04
dia113_utt7.wav,anger,anger,True,0.86,0.0075,0.0225,0.03,0.0325,0.025,0.0225
dia114_utt1.wav,neutral,neutral,True,0.075,0.2225,0.0775,0.115,0.245,0.155,0.11
dia114_utt5.wav,joy,joy,True,0.035,0.04,0.0375,0.7775,0.025,0.025,0.06
dia116_utt1.wav,neutral,neutral,True,0.0525,0.035,0.0375,0.0525,0.675,0.06,0.0875
dia116_utt5.wav,disgust,sadness,False,0.135,0.2175,0.1525,0.0975,0.0875,0.1575,0.1525
dia121_utt1.wav,joy,joy,True,0.0325,0.0375,0.0325,0.6975,0.0725,0.06,0.0675
dia121_utt3.wav,neutral,neutral,True,0.035,0.045,0.04,0.065,0.715,0.07,0.03
dia121_utt5.wav,joy,joy,True,0.04,0.03,0.02,0.7325,0.08,0.0325,0.065
dia125_utt11.wav,joy,joy,True,0.0875,0.015,0.04,0.7325,0.0475,0.0425,0.035
dia125_utt12.wav,neutral,neutral,True,0.14,0.075,0.1175,0.12,0.275,0.125,0.1475
dia125_utt14.wav,surprise,surprise,True,0.065,0.03,0.0125,0.075,0.0575,0.0475,0.7125
dia125_utt17.wav,surprise,surprise,True,0.055,0.035,0.02,0.0725,0.08,0.0425,0.695
dia125_utt18.wav,anger,anger,True,0.8475,0.01,0.0125,0.0475,0.0225,0.035,0.025
dia125_utt19.wav,anger,anger,True,0.76,0.01,0.0225,0.0375,0.0625,0.0525,0.055
dia125_utt22.wav,surprise,surprise,True,0.0725,0.0775,0.0975,0.1525,0.105,0.1825,0.3125
dia125_utt4.wav,neutral,neutral,True,0.0525,0.06,0.025,0.0475,0.6825,0.04,0.0925
dia125_utt7.wav,neutral,surprise,False,0.1125,0.0675,0.13,0.165,0.2,0.1475,0.1775
dia125_utt8.wav,neutral,neutral,True,0.1975,0.085,0.07,0.1875,0.2025,0.1475,0.11
dia125_utt9.wav,neutral,neutral,True,0.045,0.0525,0.0375,0.0825,0.695,0.045,0.0425
dia129_utt4.wav,neutral,neutral,True,0.11,0.1925,0.0825,0.1475,0.2125,0.18,0.075
dia131_utt7.wav,neutral,neutral,True,0.0175,0.015,0.07,0.065,0.6925,0.025,0.115
dia132_utt13.wav,neutral,neutral,True,0.0425,0.0775,0.0175,0.0675,0.6675,0.0675,0.06
dia132_utt14.wav,neutral,neutral,True,0.0325,0.0775,0.0275,0.045,0.73,0.0475,0.04
dia132_utt18.wav,neutral,neutral,True,0.1025,0.1725,0.1,0.18,0.195,0.175,0.075
dia132_utt6.wav,joy,neutral,False,0.11,0.15,0.0775,0.2075,0.1975,0.145,0.1125
dia132_utt8.wav,anger,neutral,False,0.2025,0.0925,0.085,0.155,0.175,0.1425,0.1475
dia137_utt10.wav,surprise,surprise,True,0.03,0.01,0.0325,0.0375,0.065,0.0575,0.7675
dia137_utt12.wav,surprise,surprise,True,0.04,0.055,0.025,0.0375,0.0525,0.045,0.745
dia137_utt13.wav,anger,anger,True,0.725,0.0375,0.03,0.035,0.08,0.0425,0.05
dia137_utt14.wav,anger,anger,True,0.73,0.0325,0.0375,0.0425,0.0575,0.0325,0.0675
dia140_utt0.wav,anger,anger,True,0.735,0.0025,0.065,0.0575,0.065,0.025,0.05
dia140_utt11.wav,anger,anger,True,0.8175,0.0175,0.025,0.055,0.0225,0.0425,0.02
dia140_utt13.wav,sadness,sadness,True,0.03,0.07,0.0475,0.045,0.0375,0.735,0.035
dia140_utt8.wav,sadness,sadness,True,0.04,0.02,0.02,0.0275,0.035,0.8225,0.035
dia140_utt9.wav,joy,joy,True,0.045,0.0425,0.0475,0.7075,0.0775,0.0325,0.0475
dia147_utt10.wav,joy,joy,True,0.0525,0.0225,0.04,0.71,0.085,0.0425,0.0475
dia147_utt2.wav,sadness,sadness,True,0.0475,0.03,0.02,0.0325,0.0475,0.7925,0.03
dia14_utt1.wav,joy,joy,True,0.0775,0.03,0.0275,0.715,0.0775,0.03,0.0425
dia14_utt4.wav,neutral,neutral,True,0.025,0.0425,0.0225,0.035,0.7575,0.0375,0.08
dia14_utt5.wav,neutral,neutral,True,0.115,0.14,0.04,0.135,0.2725,0.0775,0.22
dia153_utt2.wav,neutral,neutral,True,0.0775,0.005,0.0475,0.1,0.6975,0.035,0.0375
dia153_utt3.wav,neutral,neutral,True,0.095,0.0775,0.07,0.1275,0.2575,0.24,0.1325
dia153_utt4.wav,fear,fear,True,0.0475,0.025,0.705,0.0675,0.055,0.0525,0.0475
dia153_utt7.wav,neutral,neutral,True,0.0675,0.04,0.03,0.065,0.6825,0.06,0.055
dia154_utt4.wav,neutral,neutral,True,0.0375,0.025,0.0575,0.0675,0.71,0.04,0.0625
dia157_utt0.wav,neutral,neutral,True,0.1025,0.1025,0.1675,0.1875,0.2225,0.1175,0.1
dia157_utt1.wav,neutral,neutral,True,0.16,0.0725,0.08,0.2,0.22,0.1525,0.115
dia157_utt3.wav,neutral,neutral,True,0.1825,0.0775,0.0975,0.1675,0.2075,0.1525,0.115
dia157_utt7.wav,neutral,neutral,True,0.1075,0.13,0.0625,0.1325,0.235,0.16,0.1725
dia15_utt5.wav,anger,anger,True,0.7825,0.0525,0.015,0.0425,0.0625,0.0325,0.0125
dia160_utt9.wav,anger,anger,True,0.7025,0.025,0.06,0.055,0.035,0.0775,0.045
