FILENAME,PREDICT_LABEL,TRUE_LABEL,MATCHING,ANGER_POSSIBILITY,DISGUST_POSSIBILITY,FEAR_POSSIBILITY,JOY_POSSIBILITY,NEUTRAL_POSSIBILITY,SADNESS_POSSIBILITY,SURPRISE_POSSIBILITY
dia103_utt3.wav,surprise,surprise,True,0.06,0.04,0.0675,0.065,0.03,0.0425,0.695
dia103_utt5.wav,surprise,surprise,True,0.0075,0.0275,0.025,0.0075,0.0375,0.04,0.855
dia104_utt0.wav,neutral,joy,False,0.1875,0.0375,0.0675,0.185,0.1975,0.175,0.15
dia104_utt2.wav,anger,neutral,False,0.2675,0.0775,0.04,0.1975,0.1,0.0775,0.24
dia106_utt0.wav,anger,anger,True,0.8725,0.035,0.015,0.02,0.0325,0.005,0.02
dia109_utt1.wav,joy,joy,True,0.035,0.01,0.005,0.785,0.0675,0.0275,0.07
dia109_utt6.wav,surprise,neutral,False,0.095,0.09,0.145,0.1475,0.19,0.1075,0.225
dia10_utt0.wav,anger,anger,True,0.7325,0.0325,0.0225,0.055,0.07,0.06,0.0275
dia10_utt1.wav,neutral,neutral,True,0.0275,0.0075,0.035,0.065,0.7075,0.03,0.1275
dia10_utt2.wav,neutral,neutral,True,0.065,0.0725,0.0125,0.06,0.7125,0.05,0.0275
dia110_utt0.wav,surprise,surprise,True,0.0275,0.03,0.0625,0.0425,0.04,0.03,0.7675
dia111_utt12.wav,sadness,neutral,False,0.05,0.0375,0.1075,0.17,0.21,0.29,0.135
dia111_utt14.wav,neutral,neutral,True,0.0275,0.0325,0.02,0.055,0.7525,0.05,0.0625
dia113_utt2.wav,joy,joy,True,0.0175,0.01,0.0075,0.895,0.0225,0.0075,0.04
dia113_utt7.wav,anger,anger,True,0.8725,0.0075,0.0075,0.0275,0.045,0.0225,0.0175
dia114_utt1.wav,neutral,neutral,True,0.04,0.2125,0.065,0.1425,0.2475,0.1925,0.1
dia114_utt5.wav,joy,joy,True,0.045,0.01,0.04,0.7325,0.035,0.0125,0.125
dia116_utt1.wav,surprise,neutral,False,0.13,0.0775,0.045,0.16,0.1775,0.1875,0.2225
dia116_utt5.wav,sadness,sadness,True,0.0775,0.23,0.1375,0.1025,0.0725,0.26,0.12
dia121_utt1.wav,joy,joy,True,0.01,0.02,0.025,0.805,0.065,0.045,0.03
dia121_utt3.wav,neutral,neutral,True,0.05,0.045,0.025,0.0575,0.73,0.06,0.0325
dia121_utt5.wav,joy,joy,True,0.0075,0.005,0.0225,0.91,0.015,0.015,0.025
dia125_utt11.wav,joy,joy,True,0.0775,0.01,0.015,0.7225,0.1025,0.0275,0.045
dia125_utt12.wav,neutral,neutral,True,0.0225,0.025,0.0175,0.065,0.715,0.1025,0.0525
dia125_utt14.wav,surprise,surprise,True,0.0575,0.0125,0.025,0.07,0.055,0.01,0.77
dia125_utt17.wav,surprise,surprise,True,0.0275,0.025,0.025,0.0375,0.085,0.0275,0.7725
dia125_utt18.wav,anger,anger,True,0.82,0.005,0.01,0.05,0.0575,0.02,0.0375
dia125_utt19.wav,anger,anger,True,0.755,0.0125,0.035,0.0425,0.06,0.0575,0.0375
dia125_utt22.wav,surprise,surprise,True,0.09,0.1675,0.0475,0.0825,0.105,0.2475,0.26
dia125_utt4.wav,neutral,neutral,True,0.025,0.035,0.035,0.075,0.72,0.02,0.09
dia125_utt7.wav,surprise,surprise,True,0.0575,0.0375,0.1375,0.0975,0.145,0.09,0.435
dia125_utt8.wav,neutral,neutral,True,0.0425,0.065,0.035,0.06,0.7,0.04,0.0575
dia125_utt9.wav,neutral,neutral,True,0.095,0.03,0.0725,0.1775,0.3375,0.1125,0.175
dia129_utt4.wav,neutral,neutral,True,0.105,0.12,0.0675,0.15,0.24,0.23,0.0875
dia131_utt7.wav,neutral,neutral,True,0.015,0.0025,0.1,0.0375,0.7375,0.03,0.0775
dia132_utt13.wav,neutral,neutral,True,0.165,0.1,0.03,0.105,0.275,0.215,0.11
dia132_utt14.wav,neutral,neutral,True,0.035,0.0675,0.025,0.06,0.73,0.0475,0.035
dia132_utt18.wav,neutral,neutral,True,0.04,0.0625,0.03,0.065,0.735,0.04,0.0275
dia132_utt6.wav,neutral,neutral,True,0.045,0.085,0.015,0.0525,0.74,0.0375,0.025
dia132_utt8.wav,neutral,neutral,True,0.06,0.0575,0.0475,0.0675,0.6625,0.0275,0.0775
dia137_utt10.wav,surprise,surprise,True,0.01,0.0075,0.0125,0.0375,0.0325,0.0075,0.8925
dia137_utt12.wav,surprise,surprise,True,0.08,0.065,0.05,0.035,0.0225,0.0475,0.7
dia137_utt13.wav,anger,anger,True,0.71,0.0425,0.0375,0.055,0.0575,0.035,0.0625
dia137_utt14.wav,anger,anger,True,0.725,0.01,0.035,0.055,0.055,0.0325,0.0875
dia140_utt0.wav,anger,anger,True,0.7675,0.0225,0.03,0.0475,0.07,0.0175,0.045
dia140_utt11.wav,anger,anger,True,0.895,0.01,0.01,0.025,0.0275,0.015,0.0175
dia140_utt13.wav,sadness,sadness,True,0.0375,0.1,0.0275,0.0275,0.02,0.7375,0.05
dia140_utt8.wav,sadness,sadness,True,0.0325,0.05,0.01,0.045,0.0375,0.7825,0.0425
dia140_utt9.wav,joy,joy,True,0.025,0.03,0.0225,0.7375,0.1175,0.015,0.0525
dia147_utt10.wav,joy,joy,True,0.0475,0.0175,0.0225,0.785,0.0725,0.02,0.035
dia147_utt2.wav,sadness,sadness,True,0.0475,0.0225,0.0475,0.055,0.0275,0.75,0.05
dia14_utt1.wav,joy,joy,True,0.1,0.015,0.04,0.7175,0.0625,0.035,0.03
dia14_utt4.wav,neutral,neutral,True,0.06,0.0325,0.025,0.0575,0.7475,0.0275,0.05
dia14_utt5.wav,neutral,neutral,True,0.1175,0.1225,0.0675,0.1675,0.22,0.11,0.195
dia153_utt2.wav,neutral,neutral,True,0.09,0.005,0.03,0.0775,0.7275,0.0225,0.0475
dia153_utt3.wav,neutral,neutral,True,0.05,0.01,0.01,0.06,0.725,0.11,0.035
dia153_utt4.wav,fear,fear,True,0.015,0.0275,0.78,0.05,0.0275,0.04,0.06
dia153_utt7.wav,neutral,neutral,True,0.135,0.2375,0.0625,0.1475,0.25,0.0875,0.08
dia154_utt4.wav,neutral,neutral,True,0.0125,0.05,0.0475,0.045,0.705,0.0475,0.0925
dia157_utt0.wav,neutral,neutral,True,0.145,0.0775,0.1225,0.17,0.2825,0.085,0.1175
dia157_utt1.wav,neutral,neutral,True,0.04,0.0775,0.0125,0.0475,0.7575,0.0225,0.0425
dia157_utt3.wav,neutral,neutral,True,0.0825,0.025,0.02,0.07,0.7225,0.0425,0.0375
dia157_utt7.wav,neutral,neutral,True,0.0825,0.06,0.0775,0.1875,0.2875,0.13,0.175
dia15_utt5.wav,anger,anger,True,0.8225,0.0275,0.0025,0.0375,0.0725,0.025,0.0125
dia160_utt9.wav,anger,anger,True,0.72,0.015,0.035,0.0625,0.105,0.0525,0.01
dia164_utt4.wav,neutral,neutral,True,0.1025,0.1725,0.08,0.175,0.2525,0.1075,0.11
dia166_utt1.wav,anger,anger,True,0.7775,0.025,0.045,0.0425,0.035,0.04,0.035
dia166_utt10.wav,neutral,neutral,True,0.0275,0.0525,0.0425,0.03,0.745,0.0725,0.03
dia166_utt11.wav,neutral,neutral,True,0.115,0.02,0.035,0.0575,0.7025,0.0125,0.0575
dia166_utt12.wav,surprise,neutral,False,0.06,0.025,0.1325,0.2475,0.225,0.0575,0.2525
dia166_utt13.wav,neutral,neutral,True,0.06,0.2525,0.0775,0.11,0.3225,0.0675,0.11
dia166_utt3.wav,anger,anger,True,0.7875,0.05,0.045,0.0375,0.02,0.0375,0.0225
dia166_utt5.wav,sadness,sadness,True,0.0075,0.0025,0.0025,0.015,0.015,0.9525,0.005
dia166_utt9.wav,neutral,neutral,True,0.1725,0.07,0.0775,0.1525,0.275,0.17,0.0825
dia168_utt0.wav,disgust,neutral,False,0.08,0.2775,0.0775,0.1775,0.2375,0.095,0.055
dia168_utt11.wav,anger,anger,True,0.905,0.01,0.02,0.0175,0.035,0.0,0.0125
dia168_utt2.wav,neutral,neutral,True,0.035,0.025,0.0125,0.06,0.74,0.09,0.0375
dia169_utt14.wav,neutral,neutral,True,0.21,0.1675,0.04,0.155,0.26,0.08,0.0875
dia169_utt18.wav,disgust,disgust,True,0.055,0.8225,0.015,0.0425,0.0325,0.0175,0.015
dia169_utt20.wav,neutral,neutral,True,0.045,0.0125,0.03,0.0725,0.675,0.095,0.07
dia169_utt5.wav,surprise,surprise,True,0.03,0.005,0.0175,0.04,0.0325,0.02,0.855
dia169_utt8.wav,surprise,surprise,True,0.0025,0.0025,0.065,0.0275,0.0425,0.0175,0.8425
dia16_utt1.wav,neutral,neutral,True,0.0625,0.0575,0.0875,0.1775,0.325,0.17,0.12
dia16_utt2.wav,neutral,neutral,True,0.065,0.045,0.12,0.1325,0.2775,0.1175,0.2425
dia170_utt0.wav,surprise,surprise,True,0.005,0.01,0.0875,0.0275,0.0725,0.0225,0.775
dia176_utt0.wav,neutral,neutral,True,0.06,0.0425,0.0225,0.035,0.7325,0.06,0.0475
dia179_utt1.wav,anger,anger,True,0.82,0.035,0.0225,0.0325,0.02,0.0125,0.0575
dia17_utt2.wav,neutral,neutral,True,0.0175,0.015,0.0675,0.06,0.7875,0.0325,0.02
dia181_utt0.wav,neutral,neutral,True,0.035,0.0375,0.0075,0.0625,0.73,0.0825,0.045
