FILENAME,PREDICT_LABEL,TRUE_LABEL,MATCHING,ANGER_POSSIBILITY,DISGUST_POSSIBILITY,FEAR_POSSIBILITY,JOY_POSSIBILITY,NEUTRAL_POSSIBILITY,SADNESS_POSSIBILITY,SURPRISE_POSSIBILITY
dia103_utt3.wav,surprise,surprise,True,0.07,0.0375,0.0625,0.0775,0.0375,0.0375,0.6775
dia103_utt5.wav,surprise,surprise,True,0.01,0.0175,0.015,0.02,0.0275,0.0425,0.8675
dia104_utt0.wav,neutral,joy,False,0.15,0.11,0.12,0.11,0.205,0.1725,0.1325
dia104_utt2.wav,anger,neutral,False,0.265,0.0825,0.1125,0.1725,0.1525,0.0725,0.1425
dia106_utt0.wav,anger,anger,True,0.8675,0.0225,0.0125,0.0225,0.04,0.02,0.015
dia109_utt1.wav,joy,joy,True,0.03,0.005,0.025,0.79,0.065,0.0225,0.0625
dia109_utt6.wav,neutral,neutral,True,0.08,0.13,0.1575,0.1925,0.2125,0.1075,0.12
dia10_utt0.wav,anger,anger,True,0.745,0.01,0.03,0.0475,0.0375,0.0675,0.0625
dia10_utt1.wav,neutral,neutral,True,0.035,0.015,0.0375,0.0875,0.6775,0.03,0.1175
dia10_utt2.wav,neutral,neutral,True,0.0925,0.0625,0.0075,0.055,0.72,0.0225,0.04
dia110_utt0.wav,surprise,surprise,True,0.015,0.04,0.0375,0.0725,0.07,0.0175,0.7475
dia111_utt12.wav,sadness,neutral,False,0.0675,0.085,0.085,0.1325,0.1825,0.31,0.1375
dia111_utt14.wav,neutral,neutral,True,0.035,0.06,0.0475,0.0575,0.7025,0.035,0.0625
dia113_utt2.wav,joy,joy,True,0.0175,0.0025,0.0075,0.8975,0.0325,0.005,0.0375
dia113_utt7.wav,anger,anger,True,0.8825,0.005,0.0125,0.035,0.03,0.015,0.02
dia114_utt1.wav,neutral,neutral,True,0.11,0.18,0.0525,0.135,0.215,0.1725,0.135
dia114_utt5.wav,joy,joy,True,0.025,0.0075,0.0275,0.7575,0.0525,0.0275,0.1025
dia116_utt1.wav,neutral,neutral,True,0.0425,0.045,0.005,0.0675,0.7075,0.0625,0.07
dia116_utt5.wav,sadness,sadness,True,0.095,0.12,0.085,0.1125,0.17,0.3,0.1175
dia121_utt1.wav,joy,joy,True,0.015,0.02,0.015,0.7875,0.0475,0.08,0.035
dia121_utt3.wav,sadness,neutral,False,0.195,0.055,0.055,0.21,0.1925,0.225,0.0675
dia121_utt5.wav,joy,joy,True,0.0275,0.0075,0.0075,0.89,0.04,0.01,0.0175
dia125_utt11.wav,joy,joy,True,0.0625,0.045,0.0325,0.725,0.075,0.0275,0.0325
dia125_utt12.wav,neutral,neutral,True,0.04,0.045,0.01,0.0625,0.755,0.0525,0.035
dia125_utt14.wav,surprise,surprise,True,0.0475,0.005,0.0125,0.0425,0.055,0.025,0.8125
dia125_utt17.wav,surprise,surprise,True,0.03,0.03,0.015,0.0425,0.05,0.045,0.7875
dia125_utt18.wav,anger,anger,True,0.805,0.01,0.0175,0.0725,0.04,0.015,0.04
dia125_utt19.wav,anger,anger,True,0.755,0.0475,0.0225,0.0575,0.07,0.0325,0.015
dia125_utt22.wav,surprise,surprise,True,0.125,0.0925,0.045,0.13,0.135,0.2075,0.265
dia125_utt4.wav,surprise,neutral,False,0.085,0.0675,0.14,0.19,0.2175,0.0325,0.2675
dia125_utt7.wav,surprise,surprise,True,0.11,0.03,0.085,0.1075,0.145,0.0775,0.445
dia125_utt8.wav,neutral,neutral,True,0.02,0.0475,0.0225,0.0825,0.7625,0.0275,0.0375
dia125_utt9.wav,neutral,neutral,True,0.0325,0.025,0.05,0.065,0.75,0.035,0.0425
dia129_utt4.wav,neutral,neutral,True,0.125,0.0525,0.0825,0.145,0.275,0.1875,0.1325
dia131_utt7.wav,surprise,neutral,False,0.055,0.1075,0.15,0.1375,0.1975,0.045,0.3075
dia132_utt13.wav,neutral,neutral,True,0.0925,0.075,0.0775,0.14,0.2575,0.195,0.1625
dia132_utt14.wav,neutral,neutral,True,0.0475,0.0525,0.0275,0.0275,0.7675,0.0425,0.035
dia132_utt18.wav,disgust,neutral,False,0.1025,0.2275,0.04,0.1425,0.205,0.205,0.0775
